Handle,Price,ImageSrc,Body,Vendor,Type,Tags,Color,VariantGrams,VariantInventoryTracker,VariantInventoryQty,ImageAltText,VariantImage,Style#,AVAILABLE_SIZES,SUGGESTED_PRICE,Category,Size,Weight,PieceCost,Size value,MSRP,front,back,FRONT FLAT,BACK FLAT,PRODUCT_MEASUREMENTS,DECORATION_SPEC_SHEET,barcode,Title,Hex,Style,Sorting helper,tag2
YT200,10.98,https://cdnm.sanmar.com/imglib/mresjpg/2016/f17/YT200_whiteblack_model_front_102016.jpg,"Soft, classic knit jerseys available in many team colors. <UL><LI> 5.2-ounce, 100% ring spun combed cotton </LI><li>Tag-free label</li><LI> Rib knit neck </LI><LI> 3/4 raglan sleeves </LI><li>Curved hem</li></UL>",Sport-Tek,0,"Youth,Activewear,T-Shirts",White/ Black,0.3,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2016/f17/YT200_whiteblack_model_front_102016.jpg,YT200,Youth Sizes: XS-XL,10.98,0,XS,0,5.99,1,9.98,https://cdnm.sanmar.com/imglib/mresjpg/2016/f17/YT200_whitegold_model_front_102016.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2016/f17/YT200_whitegold_model_front_102016.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2016/f17/YT200_whitegold_model_front_102016.jpg, ,YT200_productmeasurement.pdf,https://www.sanmar.com/p/599/decorationSpecSheet,1.91E+11,Sport-Tek® Youth Colorblock Raglan Jersey.  YT200,0,YT200,YT200White/ Black1,
5450,6.04,https://cdnm.sanmar.com/imglib/mresjpg/2022/f10/5450_white_flat_front.jpg,"<UL><LI> 6-ounce, 100% ComfortSoft<sup>&#174;</sup> cotton </LI><li>99/1 cotton/poly (Ash)</LI><LI>90/10 cotton/poly (Light Steel)</LI> <LI> Tagless label</LI><li> Double-needle coverseamed crewneck</li><li> Lay-flat collar</li><LI> Shoulder-to-shoulder taping</LI><LI> Side seams</LI><li> Double-needle sleeves and hem</li></UL><p>Please note: This product is transitioning from tagged labels to tag-free and orders may contain a combination of both.</p>",Hanes,0,"Youth,T-Shirts",White,0.2,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2022/f10/5450_white_flat_front.jpg,5450,Youth Sizes: XS-XL,6.04,0,XS,0,3.58,1,5.16,https://cdnm.sanmar.com/imglib/mresjpg/2022/f10/5450_black_flat_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2022/f10/5450_black_flat_back.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2022/f10/5450_black_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2022/f10/5450_black_flat_back.jpg ,5450_productmeasurement.pdf,https://www.sanmar.com/p/2102/decorationSpecSheet,7.66E+11,Hanes® - Youth Authentic 100%  Cotton T-Shirt.  5450,0,5450,5450White1,
PC90Y,15.24,https://cdnm.sanmar.com/imglib/mresjpg/PC90Y_White_Model_Front_080210.jpg,"Cozy sweats in our core weight. <UL ><LI> 7.8-ounce, 50/50 cotton/poly fleece </LI><li>Air jet yarn for softness</li></UL><p></p>",Port & Company,0,"Youth,Sweatshirts",White,0.38,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/PC90Y_White_Model_Front_080210.jpg,PC90Y,Youth Sizes: XS-XL,15.24,0,XS,0,8.13,1,12.26,https://cdnm.sanmar.com/imglib/mresjpg/2013/f11/PC90Y_purple_model_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2015/f3/PC90Y_purple_model_back_082010.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2015/f3/PC90Y_purple_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f3/PC90Y_purple_flat_back.jpg ,PC90Y_productmeasurement.pdf,https://www.sanmar.com/p/2230/decorationSpecSheet,1.91E+11,Port & Company® - Youth Core Fleece Crewneck Sweatshirt.  PC90Y,0,PC90Y,PC90YWhite1,
PC90YH,21.44,https://cdnm.sanmar.com/imglib/mresjpg/PC90YH_Ash_Model_Front_011111.jpg,"Cozy sweats in our core weight. <UL ><LI> 7.8-ounce, 50/50 cotton/poly fleece </LI><li>Air jet yarn for softness</li><li>No drawcord at hood</li><li>Removable tag for comfort and relabeling</li></UL><p></p>",Port & Company,0,"Youth,Sweatshirts",Ash,0.67,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/PC90YH_Ash_Model_Front_011111.jpg,PC90YH,Youth Sizes:  XS-XL,21.44,0,XS,0,12.72,1,21.44,https://cdnm.sanmar.com/imglib/mresjpg/2015/f3/PC90YH_Navy_Model_Front_011111.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2015/f3/PC90YH_navy_model_back_112011.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2015/f3/PC90YH_navy_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2021/f15/PC90YH_navy_flat_back.jpg ,PC90YH_productmeasurement.pdf,https://www.sanmar.com/p/1288/decorationSpecSheet,1.91E+11,Port & Company® - Youth Core Fleece Pullover Hooded Sweatshirt.  PC90YH,0,PC90YH,PC90YHAsh1,
PC90YP,11.88,https://cdnm.sanmar.com/imglib/mresjpg/PC90YP_AthleticHeather_model_front.jpg,"Cozy sweats in our core weight. <UL ><LI> 7.8-ounce, 50/50 cotton/poly fleece </LI><li>Air jet yarn for softness</li><li>Elastic waistband</li><li>No drawcord</li><li>Elastic bottom cuffs</li></UL>",Port & Company,0,"Youth,Pants",Athletic Heather,0.37,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/PC90YP_AthleticHeather_model_front.jpg,PC90YP,Youth Sizes:  XS-XL,11.88,0,XS,0,7.94,1,11.88,https://cdnm.sanmar.com/imglib/mresjpg/2013/f11/PC90YP_royal_model_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2015/f3/PC90YP_royal_model_back_082011.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2015/f3/PC90YP_royal_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f11/PC90YP_royal_flat_back.jpg ,PC90YP_productmeasurement.pdf,https://www.sanmar.com/p/1319/decorationSpecSheet,1.91E+11,Port & Company® - Youth Core Fleece Sweatpant.  PC90YP,0,PC90YP,PC90YPAthletic Heather1,
2000B,6.04,https://cdnm.sanmar.com/imglib/mresjpg/2017/f3/2000B_white_model_front_032017.jpg,"<UL><LI> 6-ounce, 100% US cotton</LI><LI>50/50 cotton/poly (Safety Green, Safety Orange and Safety Pink) </LI><LI>99/1 cotton/poly (Ash) </LI><LI>90/10 cotton/poly (Sport Grey) </LI><li>Prepared for dying (PFD) fabric which means there are no starches, sizing or finishes on the fabric</li><li>Non-topstitched, classic width, rib collar</li><LI> Taped neck and shoulders</LI><li>Classic fit, seamless body</li><li>Recycled, high-performing black tear-away label</li></UL><p>Please note: This product is transitioning from tear-away labels to recycled, high-performing black tear-away labels. Your order may contain a combination of both labels.</p>",Gildan,0,"Youth,T-Shirts",White,0.25,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f3/2000B_white_model_front_032017.jpg,2000B,Youth Sizes:  XS-XL,6.04,0,XS,0,3.58,1,5.16,https://cdnm.sanmar.com/imglib/mresjpg/2017/f3/2000B_safetygreen_model_front_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f3/2000B_safetygreen_model_back_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2015/f5/2000B_safetygreen_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f5/2000B_safetygreen_flat_back.jpg ,2000B_productmeasurement.pdf,https://www.sanmar.com/p/2086/decorationSpecSheet,8.22E+11,Gildan® - Youth Ultra Cotton®100% US Cotton T-Shirt. 2000B,0,2000B,2000BWhite1,
18000B,14.62,https://cdnm.sanmar.com/imglib/mresjpg/18000B_Sport_Grey_Flat_Front_2009.jpg,"<ul><li> 8-ounce, 50/50 cotton/poly </li><li>  Double-needle stitching at waistband and cuffs</li><li> 1x1 rib knit collar, cuffs and waistband with spandex</li><li>Recycled, high-performing black tear-away label</li></ul><p>Please note: This product is transitioning from tear-away labels to recycled, high-performing black tear-away labels. Your order may contain a combination of both labels.</p>",Gildan,0,"Youth,Sweatshirts",Sport Grey,0.47,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/18000B_Sport_Grey_Flat_Front_2009.jpg,18000B,Youth Sizes: XS-XL,14.62,0,XS,0,9.31,1,14.62,https://cdnm.sanmar.com/imglib/mresjpg/2020/f10/18000B_forest_flat_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2020/f10/18000B_forest_flat_back.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2020/f10/18000B_forest_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2020/f10/18000B_forest_flat_back.jpg ,18000B_productmeasurement.pdf,https://www.sanmar.com/p/864/decorationSpecSheet,8.22E+11,Gildan® - Youth Heavy Blend Crewneck Sweatshirt.  18000B,0,18000B,18000BSport Grey1,
5000B,5.42,https://cdnm.sanmar.com/imglib/mresjpg/2017/f5/5000B_natural_model_front_032017.jpg,"<UL><LI> 5.3-ounce, 100% cotton </LI><LI>99/1 cotton/poly (Ash) </LI><LI> 90/10 cotton/poly (Sport Grey) </li><li> 50/50 cotton/poly (Heather, Sapphire, Safety Green, Safety Orange, Graphite Heather, Safety Pink, Dark Heather) </LI><li> Non-topstitched, classic width, rib collar</li><LI> Taped neck and shoulders</LI><li>Recycled, high-performing black tear-away label</li><li>Classic fit, seamless body</li></UL><p>Please note: This product is transitioning from tear-away labels to recycled, high-performing black tear-away labels. Your order may contain a combination of both labels.</p><p>Due to the nature of 50/50 cotton/poly neon fabrics, special care must be taken throughout the printing process.</p>",Gildan,0,"Youth,T-Shirts",Natural,0.23,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f5/5000B_natural_model_front_032017.jpg,5000B,Youth Sizes: XS-XL,5.42,0,XS,0,3.44,1,4.88,https://cdnm.sanmar.com/imglib/mresjpg/2017/f5/5000B_mintgreen_model_front_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f5/5000B_mintgreen_model_back_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f3/5000B_mintgreen_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2014/f3/5000B_mintgreen_flat_back.jpg ,5000B_productmeasurement.pdf,https://www.sanmar.com/p/439/decorationSpecSheet,8.22E+11,Gildan® - Youth  Heavy Cotton 100% Cotton T-Shirt.  5000B,0,5000B,5000BNatural1,
8000B,5.96,https://cdnm.sanmar.com/imglib/mresjpg/2020/f10/8000B_white_flat_front.jpg,"<UL><LI> 5.5-ounce, 50 cotton/50 poly </LI><li>DryBlend moisture-wicking properties</li><li>Non-topstitched, classic width, rib collar</li><li>Recycled, high-performing black tear-away label</li><LI> Taped neck and shoulders</LI><li>Modern classic fit, seamless body</li></UL><p>Please note: This product is transitioning from tear-away labels to recycled, high-performing black tear-away labels. Your order may contain a combination of both labels.</p>",Gildan,0,"Youth,T-Shirts",White,0.2,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2020/f10/8000B_white_flat_front.jpg,8000B,Youth Sizes: XS-XL,5.96,0,XS,0,3.64,1,5.28,https://cdnm.sanmar.com/imglib/mresjpg/2015/f6/8000B_electricgreen_flat_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2015/f6/8000B_electricgreen_flat_back.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f6/8000B_electricgreen_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f6/8000B_electricgreen_flat_back.jpg ,8000B_productmeasurement.pdf,https://www.sanmar.com/p/1973/decorationSpecSheet,8.22E+11,Gildan® Youth DryBlend® 50 Cotton/50 Poly T-Shirt.  8000B,0,8000B,8000BWhite1,
YJP56,49.98,https://cdnm.sanmar.com/imglib/mresjpg/YJP56_Black_Model_Front.jpg,"A jacket as spirited as your team. With sporty styling, the nylon shell repels water while the sweatshirt fleece lining in the hood and body provides comfort and warmth. <ul><li> 100% Teklon<sup>&#174;</sup> nylon shell</li><li> 1.5-ounce polyfill in sleeves</li><li> 6.5-ounce, 100% polyester sweatshirt fabric body and hood lining, 100% polyester sleeve lining</li><li> No drawcord at hood</li><li> Locker loop</li><li> Slash pockets</li><li> Elastic cuffs with adjustable hook and loop closures</li><li> Interior pocket with hook and loop closure</li><li> Port Pocket&#153; for decoration access </li></ul>",Port Authority,0,"Youth,Outerwear,Activewear",Black/ Light Oxford,0.8,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/YJP56_Black_Model_Front.jpg,YJP56,Youth Sizes: XS-XL,49.98,0,XS,0,28.99,1,49.98,https://cdnm.sanmar.com/imglib/mresjpg/YJP56_Black_Model_Front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/YJP56_Black_Model_Front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/YJP56_Black_Model_Front.jpg, ,YJP56_productmeasurement.pdf,https://www.sanmar.com/p/789/decorationSpecSheet,1.91E+11,Port Authority® Youth Team Jacket.  YJP56,0,YJP56,YJP56Black/ Light Oxford1,
Y500LS,22.98,https://cdnm.sanmar.com/imglib/mresjpg/2014/f16/Y500LS_black_model_front_072014.jpg,"A favorite for years, our Silk Touch polo is soft, supple and easy to care for. The silky smooth pique knit resists wrinkles while the classic long sleeve style looks great on everyone. <UL><LI> 5-ounce, 65/35 poly/cotton pique</LI> <LI> Flat knit collar and cuffs</LI> <LI> Double-needle armhole seams and hem</LI> <LI> 2- button placket on XS-M</LI> <LI> 3-button placket on L-XL</LI> <LI> Metal buttons with dyed-to-match plastic rims</LI> <LI> Side vents</LI> </UL>",Port Authority,0,"Youth,Polos/Knits,Long Sleeve",Black,0.31,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2014/f16/Y500LS_black_model_front_072014.jpg,Y500LS,Youth Sizes:  XS-XL,22.98,0,XS,0,13.49,1,22.98,https://cdnm.sanmar.com/imglib/mresjpg/2014/f16/Y500LS_red_model_front_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f16/Y500LS_red_model_back_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f6/Y500LS_red_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2014/f6/Y500LS_red_flat_back.jpg ,Y500LS_productmeasurement.pdf,https://www.sanmar.com/p/1664/decorationSpecSheet,1.91E+11,Port Authority® Youth Long Sleeve Silk Touch Polo.  Y500LS,0,Y500LS,Y500LSBlack1,
